budget,capacity,min,<lambda_0>,mean,<lambda_1>,max
50,max,4.6e-05,5.7e-05,0.002757,0.013156,0.028668
50,min,4.6e-05,5.7e-05,0.001972,0.007693,0.028668
75,max,4.6e-05,6.8e-05,0.003818,0.018884,0.028668
75,min,4.6e-05,6.9e-05,0.003382,0.018645,0.028668
100,max,2.8e-05,6.9e-05,0.003234,0.018884,0.028668
100,min,2.8e-05,6.3e-05,0.003165,0.016023,0.028668
125,max,5e-06,1e-05,0.004005,0.020817,0.030713
125,min,2.2e-05,4.8e-05,0.004123,0.018884,0.030713
150,max,5e-06,1.3e-05,0.003547,0.020021,0.030713
150,min,2.2e-05,5.7e-05,0.003539,0.018884,0.030713
175,max,5e-06,1e-05,0.003562,0.018685,0.030713
175,min,2.2e-05,5.7e-05,0.003013,0.018619,0.030713
200,max,5e-06,2.1e-05,0.003773,0.017097,0.030713
200,min,5e-06,2.6e-05,0.003036,0.016011,0.030713
225,max,5e-06,1e-05,0.003979,0.016928,0.030713
225,min,5e-06,2.6e-05,0.003395,0.01561,0.030713
250,max,5e-06,1.4e-05,0.003454,0.014607,0.030713
250,min,5e-06,1e-05,0.00305,0.014168,0.030713
275,max,2e-06,6e-06,0.002805,0.014431,0.030713
275,min,2e-06,5e-06,0.002819,0.014168,0.030713
300,max,2e-06,6e-06,0.002677,0.012851,0.030713
300,min,2e-06,6e-06,0.002576,0.012851,0.030713
325,max,2e-06,6e-06,0.002403,0.012384,0.030713
325,min,1e-06,5e-06,0.002245,0.012851,0.030713
350,max,2e-06,6e-06,0.002616,0.012851,0.030713
350,min,2e-06,7e-06,0.005174,0.021043,0.030713
375,max,2e-06,7e-06,0.002587,0.012851,0.030713
375,min,1e-06,6e-06,0.004474,0.020399,0.030713
400,max,1e-06,6e-06,0.00282,0.014607,0.030713
400,min,1e-06,6e-06,0.00461,0.020399,0.030713
425,max,1e-06,6e-06,0.002648,0.012688,0.030713
425,min,1e-06,6e-06,0.004418,0.020399,0.030713
450,max,1e-06,5e-06,0.002544,0.012384,0.030713
450,min,1e-06,6e-06,0.004294,0.020399,0.030713
475,max,1e-06,6e-06,0.002627,0.012851,0.030713
475,min,1e-06,6e-06,0.004139,0.020399,0.030713
500,max,1e-06,6e-06,0.00265,0.013973,0.030713
500,min,1e-06,7e-06,0.005255,0.019596,0.030713
525,max,1e-06,6e-06,0.00262,0.012384,0.030713
525,min,1e-06,7e-06,0.005038,0.019596,0.030713
550,max,1e-06,7e-06,0.002834,0.012384,0.030713
550,min,1e-06,7e-06,0.004912,0.018884,0.030713
575,max,1e-06,6e-06,0.002789,0.012537,0.030713
575,min,1e-06,8e-06,0.004985,0.019596,0.030713
600,max,1e-06,7e-06,0.002683,0.012548,0.030713
600,min,1e-06,7e-06,0.003955,0.017086,0.030713
