budget,capacity,terminal,root,node,bc_tr_asp,num_interm_nodes,family_size,category,value
100,min,131,1,21,0.006832417433505095,1,2,protected,1750118.7353424656
100,min,132,1,21,0.006832417433505095,1,2,dominant,6821802.882816058
100,min,136,1,22,0.0026167533486082116,1,2,dominant,6821802.882816058
100,min,144,1,24,0.0009101443806205299,4,1,only_child,8541812.466721177
100,min,144,1,48,0.004625416490922056,4,1,only_child,8541812.466721177
100,min,144,1,45,0.006036491220157679,4,1,only_child,8541812.466721177
100,min,144,1,21,0.006832417433505095,4,1,only_child,8541812.466721177
100,min,160,1,42,0.0031583585511919046,2,2,dominant,5162728.501841529
100,min,160,1,22,0.0026167533486082116,2,2,dominant,5162728.501841529
100,min,183,1,48,0.004625416490922056,3,2,dominant,5331335.241171337
100,min,183,1,45,0.006036491220157679,3,2,dominant,5331335.241171337
100,min,183,1,21,0.006832417433505095,3,2,dominant,5331335.241171337
100,min,443,1141,324,0.01285148544158195,2,1,only_child,4502325.636607452
100,min,443,1141,1148,0.006427823919903145,2,1,only_child,4502325.636607452
100,min,480,302,345,0.00769298343512892,2,1,only_child,9997367.675814806
100,min,480,302,304,0.018618634459969526,2,1,only_child,9997367.675814806
100,min,488,301,347,0.028667694920679245,1,2,dominant,8720063.978964943
100,min,840,601,624,0.0017429782398865965,4,2,dominant,6161306.158584186
100,min,840,601,638,0.006384698441742464,4,2,dominant,6161306.158584186
100,min,840,601,628,0.007640129187979631,4,2,dominant,6161306.158584186
100,min,840,601,633,0.018884346153560678,4,2,dominant,6161306.158584186
100,min,842,601,638,0.006384698441742464,3,1,only_child,9627188.06665995
100,min,842,601,628,0.007640129187979631,3,1,only_child,9627188.06665995
100,min,842,601,633,0.018884346153560678,3,1,only_child,9627188.06665995
100,min,905,608,718,0.00034163569794847383,1,1,only_child,6189299.534621126
100,min,1687,1649,1655,0.0006158314305098937,3,1,only_child,9931304.7286444
100,min,1687,1649,1657,0.00023428228467482813,3,1,only_child,9931304.7286444
100,min,1687,1649,1658,0.00042889886926581654,3,1,only_child,9931304.7286444
100,min,1813,1795,1792,0.0002578836519010966,2,2,dominant,3396872.947685486
100,min,1813,1795,1793,0.0006439455400981264,2,2,dominant,3396872.947685486
100,min,1815,1781,1793,0.0006439455400981264,2,2,dominant,3796623.223610626
100,min,1815,1781,1795,0.0004391761789767496,2,2,dominant,3796623.223610626
100,min,1820,1795,1796,0.00033031062494102325,1,2,dominant,4493057.50199252
100,min,1821,1795,1797,0.0005967111339890717,2,3,dominant,3642053.2101965207
100,min,1821,1795,1796,0.00033031062494102325,2,3,dominant,3642053.2101965207
100,min,1883,1853,1859,0.00013826129768760347,2,1,only_child,5477460.190776772
100,min,1883,1853,1855,0.0003174796320785033,2,1,only_child,5477460.190776772
100,min,1885,1853,1861,2.8461187866795536e-05,2,1,only_child,3459942.5262681595
100,min,1885,1853,1852,0.00045006974190752526,2,1,only_child,3459942.5262681595
100,min,1886,1857,1854,0.00035911930819218225,1,1,only_child,8629915.758251993
100,min,1887,1853,1864,0.00010983381060160308,4,2,dominant,3181053.503491521
100,min,1887,1853,1863,0.00011631289527062614,4,2,dominant,3181053.503491521
100,min,1887,1853,1859,0.00013826129768760347,4,2,dominant,3181053.503491521
100,min,1887,1853,1855,0.0003174796320785033,4,2,dominant,3181053.503491521
100,min,1889,1857,1868,0.0006399918944779837,1,1,only_child,3996569.8898939053
100,min,1891,1858,1874,0.0002684136945480265,2,2,protected,7505242.556738599
100,min,1891,1858,1875,0.0004422384031404744,2,2,protected,7505242.556738599
100,min,1892,1858,1874,0.0002684136945480265,2,2,dominant,7628098.057749215
100,min,1892,1858,1875,0.0004422384031404744,2,2,dominant,7628098.057749215
100,min,1893,1858,1875,0.0004422384031404744,1,1,only_child,3372413.0315185464
100,min,1894,1853,1877,0.00026843777131539383,1,1,only_child,6385502.17229874
100,min,1895,1853,1878,5.6735512857961805e-05,2,2,protected,3963257.7004387355
100,min,1895,1853,1877,0.00026843777131539383,2,2,protected,3963257.7004387355
100,min,1896,1853,1878,5.6735512857961805e-05,2,2,dominant,3984082.8119665813
100,min,1896,1853,1877,0.00026843777131539383,2,2,dominant,3984082.8119665813
100,min,1897,1853,1863,0.00011631289527062614,3,1,only_child,3831915.274574983
100,min,1897,1853,1859,0.00013826129768760347,3,1,only_child,3831915.274574983
100,min,1897,1853,1855,0.0003174796320785033,3,1,only_child,3831915.274574983
100,min,1904,1834,1837,0.0004300010001589727,2,1,only_child,7110097.5995076
100,min,1904,1834,1840,0.0005208981447886684,2,1,only_child,7110097.5995076
100,min,1906,1843,1845,8.632320592678426e-05,2,2,protected,3502243.248324103
100,min,1906,1843,1844,7.056899493245079e-05,2,2,protected,3502243.248324103
100,min,1907,1843,1845,8.632320592678426e-05,2,2,dominant,5682005.523913312
100,min,1907,1843,1844,7.056899493245079e-05,2,2,dominant,5682005.523913312
100,min,1909,1843,1849,9.608564311864518e-05,4,2,dominant,7328149.206943658
100,min,1909,1843,1850,4.6412730082356545e-05,4,2,dominant,7328149.206943658
100,min,1909,1843,1845,8.632320592678426e-05,4,2,dominant,7328149.206943658
100,min,1909,1843,1844,7.056899493245079e-05,4,2,dominant,7328149.206943658
100,min,1912,602,670,0.006043894931098145,2,1,only_child,8957855.505056681
100,min,1912,602,654,0.003365453215139171,2,1,only_child,8957855.505056681
125,min,131,1,21,0.006832417433505095,1,2,protected,1750118.7353424656
