budget,capacity,root,terminal,category,"(1e-05, 1.78e-05]","(1.78e-05, 3.16e-05]","(3.16e-05, 5.62e-05]","(5.62e-05, 0.0001]","(0.0001, 0.000178]","(0.000178, 0.000316]","(0.000316, 0.000562]","(0.000562, 0.001]","(0.001, 0.00178]","(0.00178, 0.00316]","(0.00316, 0.00562]","(0.00562, 0.01]","(0.01, 0.0178]","(0.0178, 0.0316]",Total
50,max,1,132,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,max,1,136,dominant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50,max,1,160,dominant,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
50,max,301,488,dominant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,max,302,480,only_child,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
50,max,602,1912,only_child,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
50,max,608,905,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,max,1781,1821,dominant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,max,1795,1820,dominant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,max,1843,1904,only_child,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
50,max,1843,1907,dominant,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
50,max,1843,1909,dominant,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
50,max,1853,1894,only_child,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,max,1853,1895,protected,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
50,max,1853,1896,dominant,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
50,max,1857,1886,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,max,1858,1891,protected,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
50,max,1858,1892,dominant,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
50,max,1858,1893,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,min,1,132,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,min,301,488,dominant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,min,302,480,only_child,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
50,min,602,1912,only_child,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
50,min,608,905,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,min,1781,1821,dominant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,min,1795,1820,dominant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,min,1834,1904,only_child,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
50,min,1843,1906,protected,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
50,min,1843,1907,dominant,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
50,min,1843,1909,dominant,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
50,min,1853,1879,dominant,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
50,min,1853,1880,protected,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
50,min,1853,1883,only_child,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
50,min,1853,1894,only_child,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,min,1853,1895,protected,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
50,min,1853,1896,dominant,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
50,min,1853,1897,only_child,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
50,min,1857,1886,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,min,1858,1891,protected,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
50,min,1858,1892,dominant,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
50,min,1858,1893,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
75,max,1,132,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
75,max,1,136,dominant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
75,max,1,144,only_child,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4
75,max,1,160,dominant,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
75,max,1,183,dominant,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3
75,max,301,488,dominant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
75,max,302,480,only_child,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
75,max,601,840,dominant,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4
75,max,601,842,only_child,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
75,max,601,852,dominant,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
75,max,602,1912,only_child,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
75,max,608,901,protected,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
75,max,608,902,dominant,0,0,0,0,0,0,2,1,1,0,0,0,0,0,4
75,max,608,905,only_child,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
75,max,608,908,only_child,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3
75,max,1781,1821,dominant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
75,max,1795,1820,dominant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
75,max,1843,1904,only_child,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
