terminal,nearest_dist,best_dist,best_prize
131,2,2,1750118.7353424656
132,2,2,6821802.882816058
135,3,3,1714029.3303652175
136,3,3,6821802.882816058
139,4,4,1983492.7477461956
142,4,4,1266964.922725654
144,7,7,8541812.466721177
147,4,4,1207411.5706043052
148,4,4,1207583.8119125231
151,3,3,1674506.8093980583
155,4,4,862521.6218205832
159,3,3,1095687.6982240945
160,3,3,5162728.501841529
164,2,2,1232257.287287861
167,4,4,1295965.5504275288
168,4,4,890582.0638431596
171,4,4,1700672.2836583336
172,4,4,1700672.2836583336
175,2,2,1707188.8078962197
176,2,2,1631736.9271166874
183,6,6,5331335.241171337
184,6,6,1635681.2570144092
187,3,3,1058961.5669360836
188,3,3,1753743.3948713583
201,3,3,482154.4854292159
202,3,3,579363.2670268107
203,2,2,1274240.7832184779
204,2,2,1264859.977579106
431,3,3,1464528.4172507515
432,3,3,1090154.0897352498
435,3,3,2034270.6342483887
436,3,3,1495279.198113949
438,3,3,1526983.9388657892
439,3,3,1976080.7562109276
440,3,3,1484968.5894293578
443,3,6,5461188.642093021
451,4,4,1376213.105248729
452,4,4,1721196.9449002559
455,5,5,3382612.1325576515
459,5,5,1517333.5400201567
463,3,3,900401.973099439
464,3,3,2986954.9182335846
471,2,2,1140719.3630287116
472,2,2,1334777.3315341386
475,2,2,1125615.874879271
476,2,2,1642953.4499726654
480,4,4,9997367.675814806
483,5,5,1240778.322925021
487,2,2,968030.849368421
488,2,2,8720063.978964943
831,4,4,1387849.9170411425
834,5,7,2247867.7755852193
835,5,7,1430162.8377272477
840,7,7,6161306.158584186
841,7,7,1166836.0312769269
842,6,6,9627188.06665995
843,6,6,1547329.343560675
849,8,8,754721.8618369417
852,4,4,2176755.8177108536
853,4,4,2039462.2884240944
854,4,4,1366964.6486146627
855,5,5,2209843.4069064083
901,8,8,4983600.981963981
902,8,8,8526126.624607224
903,6,6,4720751.239980388
904,6,10,1159081.6541700622
905,2,2,6189299.534621126
906,3,3,942886.5844039706
907,6,6,9249764.232243523
908,5,5,6540095.451359273
910,8,8,3733044.4651270895
911,8,8,1295838.2964271393
912,6,10,8110151.038566097
913,7,9,3333273.6205978887
914,7,7,3264217.8095894605
950,6,6,1031740.4643810987
951,2,2,2393504.2572711767
952,5,5,6987594.471884625
957,7,7,1267982.4261620177
958,7,7,2227209.518374705
959,7,7,693046.7696244658
1029,2,2,606495.2968633837
1030,2,2,567887.1345450035
1031,4,4,528367.3462104795
1032,4,4,577772.7996845174
1033,3,3,570885.9014505576
1034,3,3,508514.77321639756
1035,3,3,554476.6056022452
1036,3,3,451482.4134605477
1037,4,4,470464.20376281865
1038,3,5,543258.7190573516
1040,3,3,510551.1185710548
1041,3,7,569368.2082371068
1042,2,7,492149.3454074689
1043,6,11,562892.8263997479
1045,6,11,530541.2304380814
1046,4,11,479485.80843011773
1047,4,6,494937.3947077299
1048,6,13,551427.833414876
1050,6,13,483802.37678527203
1071,2,2,560922.2795552703
1072,4,4,509094.1741637883
1073,5,5,566569.4894192518
1074,7,7,550764.6953815471
1075,7,7,463814.0965860182
1076,3,3,573396.5888426434
1077,7,7,545342.7423185192
1078,3,3,600977.4694944966
1079,7,7,537081.8605292753
1080,7,7,588095.0805108419
1081,4,4,517015.12702581927
1082,4,4,528184.7534695371
1083,5,5,547552.0980825175
1084,6,12,573815.1686107675
1085,6,12,572779.3280377054
1086,6,14,607238.2799714503
1087,6,14,586544.856038859
1088,7,13,598417.4418179104
1089,4,4,589916.7002659587
1090,3,3,571619.654647358
1201,5,5,4281828.518474847
1202,5,5,1300300.475684883
1203,7,8,3679303.9410623703
1204,6,7,2431453.4409180228
1205,8,8,2821259.5969569585
1206,4,4,4553721.695298969
