root,ring_index,Terminal,CumTerminal,%Term,Cum%Term,Prize,CumPrize,%Prize,Cum%Prize
1,0,9,9,3.214285714285714,3.214285714285714,23.846,23.846,4.756965085799323,4.756965085799323
1,1,16,25,5.714285714285714,8.928571428571429,22.489,46.335,4.486261335844208,9.24322642164353
1,2,5,30,1.7857142857142856,10.714285714285714,8.834,55.169,1.7622674481234262,11.005493869766958
1,3,8,38,2.857142857142857,13.571428571428571,14.811,69.97999999999999,2.9546007668277188,13.960094636594675
1,4,14,52,5.0,18.571428571428573,22.477999999999998,92.45799999999998,4.484066979728139,18.444161616322813
1,5,12,64,4.285714285714286,22.857142857142858,15.918,108.37599999999998,3.175432786872164,21.619594403194974
1,6,21,85,7.5,30.357142857142854,50.322,158.69799999999998,10.038580770258895,31.658175173453866
1,7,21,106,7.5,37.857142857142854,20.431,179.129,4.075717255219575,35.73389242867345
1,8,12,118,4.285714285714286,42.142857142857146,26.695,205.82399999999998,5.325303319861316,41.05919574853476
1,9,12,130,4.285714285714286,46.42857142857143,25.141,230.96499999999997,5.015300646736592,46.07449639527135
1,10,3,133,1.0714285714285714,47.5,5.754,236.71899999999997,1.147847735623975,47.22234413089533
1,11,12,145,4.285714285714286,51.78571428571429,36.335,273.054,7.2483572252167425,54.47070135611207
1,12,18,163,6.428571428571428,58.214285714285715,30.313,303.36699999999996,6.047046995128529,60.5177483512406
1,13,10,173,3.571428571428571,61.78571428571429,30.515,333.88199999999995,6.08734335289635,66.60509170413694
1,14,15,188,5.357142857142857,67.14285714285714,25.78,359.6619999999999,5.142772788388265,71.74786449252521
1,15,22,210,7.857142857142857,75.0,32.689,392.35099999999994,6.521027916199534,78.26889240872474
1,16,20,230,7.142857142857142,82.14285714285714,34.411,426.76199999999994,6.864544391824228,85.13343680054896
1,17,27,257,9.642857142857144,91.78571428571428,38.384,465.14599999999996,7.6571059235645915,92.79054272411355
1,18,9,266,3.214285714285714,95.0,12.991,478.13699999999994,2.591534573078043,95.3820772971916
1,19,4,270,1.4285714285714286,96.42857142857143,5.209,483.34599999999995,1.039127364418715,96.42120466161032
1,20,2,272,0.7142857142857143,97.14285714285714,0.988,484.33399999999995,0.19709307660696687,96.61829773821728
1,21,2,274,0.7142857142857143,97.85714285714285,5.470000000000001,489.804,1.0911934504454541,97.70949118866274
1,22,6,280,2.142857142857143,100.0,11.482,501.28599999999994,2.29050881133724,99.99999999999997
1,bin_0.0-11.0,30,30,10.714285714285714,10.714285714285714,55.169,55.169000000000004,11.005493869766958,11.00549386976696
1,bin_11.0-21.6,34,64,12.142857142857142,22.857142857142858,53.206999999999994,108.376,10.61410053342802,21.61959440319498
1,bin_21.6-41.1,54,118,19.28571428571429,42.142857142857146,97.44800000000001,205.824,19.439601345339785,41.05919574853477
1,bin_41.1-47.2,15,133,5.357142857142857,47.5,30.894999999999996,236.719,6.163148382360567,47.22234413089533
